cohort,parameter,level,df,estimate,standard error,wald chi-square,p
ami,intercept,,1,29.564,22.0132,1.8037,0.1793
ami,hig,193a,1,-0.7017,0.0539,169.2448,<.0001
ami,hig,193b,1,-0.2876,0.0658,19.0781,<.0001
ami,hig,194a,1,-0.0512,0.0438,1.3671,0.2423
ami,agegroupn,,1,0.0424,0.00579,53.568,<.0001
ami,gender,f,1,-0.0276,0.0275,1.001,0.3171
ami,calendar_year,,1,-0.0154,0.0109,1.9885,0.1585
ami,prev_admit_index,0,1,-0.2082,0.0364,32.6389,<.0001
ami,prev_admit_index,1,1,0.0695,0.0777,0.7999,0.3711
ami,prev_admit_index,2,1,0.2623,0.0667,15.4491,<.0001
ami,comorb_index,0,1,-0.4309,0.0648,44.2226,<.0001
ami,comorb_index,1,1,-0.198,0.0599,10.9376,0.0009
ami,fiscal_qtr,1,1,-0.014,0.0367,0.1452,0.7032
ami,fiscal_qtr,2,1,-0.0036,0.0388,0.0086,0.926
ami,fiscal_qtr,3,1,0.00141,0.0381,0.0014,0.9705
card,intercept,,1,1.3971,16.7518,0.007,0.9335
card,hig,202,1,0.1823,0.0881,4.2813,0.0385
card,hig,204a,1,0.392,0.0911,18.5119,<.0001
card,hig,204b,1,0.3681,0.1082,11.5647,0.0007
card,hig,208a,1,-0.0862,0.0899,0.9194,0.3376
card,agegroupn,,1,0.0721,0.0043,281.3529,<.0001
card,gender,f,1,-0.0915,0.0205,19.9948,<.0001
card,calendar_year,,1,-0.00163,0.00832,0.0384,0.8446
card,prev_admit_index,0,1,-0.8244,0.0252,1073.7046,<.0001
card,prev_admit_index,1,1,-0.2148,0.0509,17.7824,<.0001
card,prev_admit_index,2,1,-0.1103,0.0437,6.3738,0.0116
card,comorb_index,0,1,-0.6858,0.0587,136.6788,<.0001
card,comorb_index,1,1,-0.2573,0.0609,17.834,<.0001
card,fiscal_qtr,1,1,-0.00827,0.028,0.0872,0.7678
card,fiscal_qtr,2,1,0.0152,0.0292,0.2719,0.6021
card,fiscal_qtr,3,1,0.0271,0.0292,0.8647,0.3524
chf,intercept,,1,2.7009,14.474,0.0348,0.852
chf,agegroupn,,1,0.0123,0.00455,7.2969,0.0069
chf,gender,f,1,-0.064,0.0178,12.8982,0.0003
chf,calendar_year,,1,-0.00177,0.00719,0.0608,0.8052
chf,prev_admit_index,0,1,-0.7119,0.0202,1238.1231,<.0001
chf,prev_admit_index,1,1,-0.3334,0.0365,83.4258,<.0001
chf,prev_admit_index,2,1,-0.2169,0.0295,54.0427,<.0001
chf,comorb_index,0,1,-0.1367,0.0593,5.3072,0.0212
chf,comorb_index,1,1,0.0129,0.0609,0.0446,0.8327
chf,fiscal_qtr,1,1,0.00929,0.0242,0.1469,0.7015
chf,fiscal_qtr,2,1,0.0393,0.026,2.2778,0.1312
chf,fiscal_qtr,3,1,-0.00073,0.0255,0.0008,0.9772
copd,intercept,,1,-5.9521,13.8906,0.1836,0.6683
copd,hig,139c,1,-0.1973,0.0174,128.3022,<.0001
copd,agegroupn,,1,0.00347,0.0041,0.7166,0.3973
copd,gender,f,1,-0.1146,0.0168,46.278,<.0001
copd,calendar_year,,1,0.00281,0.0069,0.1652,0.6844
